=== vol windows.netscan ===
Volatility 3 Framework 2.27.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xc08eaa8d23f0	UDPv4	0.0.0.0	4500	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eaa8d23f0	UDPv6	::	4500	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eaa8d2ec0	UDPv4	0.0.0.0	500	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eaa8d2ec0	UDPv6	::	500	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eaa922690	UDPv4	172.16.7.11	138	*	0		4	System	2021-02-03 21:51:37.000000 UTC
0xc08eaa94d9b0	TCPv4	0.0.0.0	49674	0.0.0.0	0	LISTENING	788	lsass.exe	2021-02-03 21:51:38.000000 UTC
0xc08eaab15c70	TCPv4	0.0.0.0	49715	0.0.0.0	0	LISTENING	788	lsass.exe	2021-02-03 21:51:46.000000 UTC
0xc08eaaca3010	TCPv4	172.16.7.11	49713	172.16.5.21	5985	CLOSED	215296	svchost.exe	2021-09-15 21:17:58.000000 UTC
0xc08eab1aa010	TCPv4	172.16.7.11	51892	172.16.4.10	8080	ESTABLISHED	2332	svchost.exe	2021-09-16 03:04:57.000000 UTC
0xc08eab2ae360	TCPv4	172.16.7.11	64236	172.16.5.21	5985	CLOSED	66472	svchost.exe	2021-04-08 07:29:53.000000 UTC
0xc08eab3fb9b0	TCPv4	172.16.7.11	57033	172.16.5.21	5985	CLOSED	173504	svchost.exe	2021-07-22 02:01:34.000000 UTC
0xc08eac13eec0	TCPv4	0.0.0.0	49709	0.0.0.0	0	LISTENING	1688	svchost.exe	2021-02-03 21:51:40.000000 UTC
0xc08eac13eec0	TCPv6	::	49709	::	0	LISTENING	1688	svchost.exe	2021-02-03 21:51:40.000000 UTC
0xc08eac9a5370	UDPv4	0.0.0.0	63434	*	0		2408	masvc.exe	2021-09-16 03:05:10.000000 UTC
0xc08eacb11250	UDPv4	0.0.0.0	0	*	0		2408	masvc.exe	2021-09-15 21:10:09.000000 UTC
0xc08eacb9c130	TCPv4	0.0.0.0	8081	0.0.0.0	0	LISTENING	2392	macmnsvc.exe	2021-02-03 21:51:40.000000 UTC
0xc08ead338770	UDPv4	0.0.0.0	0	*	0		2408	masvc.exe	2021-09-15 21:09:27.000000 UTC
0xc08ead338770	UDPv6	::	0	*	0		2408	masvc.exe	2021-09-15 21:09:27.000000 UTC
0xc08ead3db1b0	UDPv4	172.16.7.11	63825	*	0		5268	svchost.exe	2021-09-08 12:57:58.000000 UTC
0xc08ead5e5a70	TCPv4	172.16.7.11	49714	172.16.5.28	8000	CLOSED	2616	Velociraptor.e	2021-09-15 21:18:33.000000 UTC
0xc08ead81e980	UDPv4	0.0.0.0	0	*	0		215296	svchost.exe	2021-09-16 02:41:23.000000 UTC
0xc08ead81e980	UDPv6	::	0	*	0		215296	svchost.exe	2021-09-16 02:41:23.000000 UTC
0xc08ead880ec0	UDPv4	0.0.0.0	0	*	0		215296	svchost.exe	2021-09-15 23:38:47.000000 UTC
0xc08eadb363b0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	644	wininit.exe	2021-02-03 21:51:36.000000 UTC
0xc08eae3d4be0	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	215296	svchost.exe	2021-09-15 17:50:04.000000 UTC
0xc08eae3d4be0	TCPv6	::	7680	::	0	LISTENING	215296	svchost.exe	2021-09-15 17:50:04.000000 UTC
0xc08eae765580	UDPv4	0.0.0.0	0	*	0		788	lsass.exe	2021-02-03 21:51:38.000000 UTC
0xc08eae766010	UDPv4	0.0.0.0	0	*	0		788	lsass.exe	2021-02-03 21:51:38.000000 UTC
0xc08eae766010	UDPv6	::	0	*	0		788	lsass.exe	2021-02-03 21:51:38.000000 UTC
0xc08eae851b70	UDPv4	0.0.0.0	4500	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae852330	UDPv4	0.0.0.0	0	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae853ec0	UDPv4	0.0.0.0	500	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae8753d0	UDPv4	0.0.0.0	0	*	0		788	lsass.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae87fb60	UDPv4	0.0.0.0	0	*	0		788	lsass.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae87fb60	UDPv6	::	0	*	0		788	lsass.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae8b5660	UDPv4	0.0.0.0	0	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae8b5660	UDPv6	::	0	*	0		544	svchost.exe	2021-02-03 21:51:37.000000 UTC
0xc08eae8cfca0	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2021-02-03 21:51:37.000000 UTC
